seoul	jeju
내가 그거 안 해주면 안만나겠네 이렇게 하면	내가 그거 안 해주면 안만나크라 이렇게 하면
야 그거 해주면 안만나겠네	야 그거 해주면 안만나켜이
비꼬는 말투로	비꼬는 말투로이
어 그거 안해주면 안만나겠네무섭다 이렇게 하면서	어 그거 안해주면 안만나켜이무섭다 이렇게 하면서
오빠가 왜 또 말 막 그렇게 해?	오빠가 왜 또 말 막 그렇게 하맨?
아니 가 나한테 플라토닉러브하쟤.	아니 가 나한테 플라토닉러브하쟨.
?  없어?	?  언?
좀 생각보다 성욕이 많았었어.	좀 생각보다 성욕이 많았언.
나는 #이 -성- 성욕이 많은 남자만 만나는 거 닮아.	나는 이 -성- 성욕이 많은 남자만 만나는 거 닮아.
 근데 #이	 근데 이
 그때는 약간 살도 지금 조금 찌고 맨날 악기만 하고 하니까 애가 체력이 없잖아 운동도 안하고 하니까	 그때는 약간 살도 지금 조금 찌고 맨날 악기만 하고 하니까 애가 체력이 없네 운동도 안하고 하니까
그런데 헬스 하는 남자들이 오히려 더 -어- 없대.	근데이 헬스 하는 남자들이 오히려 더 -어- 없댄.
운동을 아예 안 하면 있잖아 남자들 처지고 #이	운동을 아예 안 하면 있네 남자들 처지고 이
하면서 아 몰라  요새 있잖아 좀	하면서 아 몰라  요새 인네 좀
걔 영양제 안 먹어?	가이 영양제 안 먹어?
영양제 이제야 챙겨먹는 거 같기는 한데 #이	영양제 이제야 챙겨먹는 거 같기는 한데 이
걔 완전 스트레스 받나봐. 애가 무기력해 만나면 #이 그냥 막 졸리다고 하고 피곤하다고 하고 #이	가이 완전 스트레스 받나봐. 애가 무기력해 만나면 이 그냥 막 졸리다고 하고 피곤하다고 하고 이
어때요?	어떵해요?
디즈니근데 이제는 #이 아 걍 집에서 쉬자 막 이렇게 해.	디즈니근데 이제는 이 아 걍 집에서 쉬게 막 이렇게 해.
-우리- 걘 코로나 때문에.	-우리- 가인 코로나 때문에.
걔네 엄마아빠는 뭐해?	가이네 엄마아빠는 뭐해?
교회 다니고 하시겠지 걔네 아빠는 귤 그거 하시고 귤껍질	교회 다니고 하시겠지 가이네 아빠는 귤 그거 하시고 귤껍질
근데 걔네 아빠가 한 번 크게 아팠었거든	근데 가이네 아빠가 한 번 크게 아팠었거든
그래서 걔가 코로나 좀 그런 거 예민한 거 같아	그래서 가이가 코로나 좀 그런 거 예민한 거 닮아.
어제 왜 싸웠어 진짜	어제 왜 싸원 진짜
어제 내가 그 메종 키츠네 딱 예약했어	어제 내가 그 메종 키츠네 딱 예약핸
메종키츠네가 뭐야?	메종키츠네가 뭐?
그런데 그거 막 삼십 얼마잖아.	근데 그거 막 삼십 얼마네.
근데 오빠랑 싸우고나서 아 내가 왜 오빠땜에 이런 돈을 써야 되지 이런 마음이 드는 거야.	근데 오빠랑 싸우고나서 아 내가 왜 오빠땜에 이런 돈을 써야 되지 이런 마음이 드는 거.
아 근데 진짜 취소하고 싶었어.	아 근데 진짜 취소하고 싶언.
아니 나는 오빠 땜에 성격이 너무 변했어.	아니 나는 오빠 땜에 성격이 너무 변핸.
오빠 만나면서 #이 진짜 #이 나 원래 좀 막 그래도 좀 쿨했었잖아.	오빠 만나면서 이 진짜 이 나 원래 좀 막 그래도 좀 쿨했었네.
그냥 내가 나도 남사친많이 만나니까 다른 애가 뭐 나 오늘 누구 만나도 돼?하면 만나 왜 물어보는 거야? 난 좀 이런 주의였거든.	그냥 내가 나도 남사친많이 만나니까 다른 애가 뭐 나 오늘 누구 만나도 돼?하면 만나 왜 물어보는 거? 난 좀 이런 주의였거든.
나도 만나니까 만나니까 만나 이런 거였어. 걔 난 다 풀어줬었어.	나도 만나니까 만나니까 만나 이런 거연. 갸이 난 다 풀어줬언.
그런데 오히려 남자들이 그거에 섭섭해했었어	그런데 오히려 남자들이 그거에 섭섭해했네
질투좀 해. 막 이런 식으로 했었어.	질투좀 해. 막 이런 식으로 했었네.
그래갖고 왜 난 안만나?	그래갖고 왜 난 안만나맨?
이런 식으로 했었어.옛날엔. 그것 땜에 개싸웠어 엄마랑.	이런 식으로 했었네.옛날엔. 그것 땜에 개싸웠어 엄마랑.
 뭐라고 해서 편하니까 만나는거지 막 그러면서 막	 뭐라고 해서 편하니까 만나는거네 막 그러면서 막
그렇게나?	그자락?
어 진짜 그 정도로 진짜 그정도야. 근데 내가 이제 그거에 너무 스트레스 받아서	어 진짜 그 정도로 진짜 그정도네. 근데 내가 이제 그거에 너무 스트레스 받아서
또 이제 또 이런 적 있었어 내가 막 이제 막	또 이제 또 이런 적 있언 내가 막 이제 막
예를 들면은 이제 너네를 만나러 가는데 이제 막 -남자- 남자 끼는 상황이 나오잖아.	예를 들면은 이제 너네를 만나러 가는데 이제 막 -남자- 남자 끼는 상황이 나오네.
나 같아도 몰래 만나겠다.	나 같아도 몰래 만나겐.
그래서 내가 더 이렇게 된 거야. 그리고 이제 나도 오빠가 그렇게 하니까 이제 나도 오빠랑 똑같이 막	그래서 내가 더 이렇게 된 거. 그리고 이제 나도 오빠가 그렇게 하니까 이제 나도 오빠랑 똑같이 막
왜 누구 있어? -솔직하게- 술집에 누구 있어?	왜 누구 인? -솔직하게- 술집에 누구 인?
막 술집에 누구 있어? 여자 없어? 안꼈어? 말안했어? -이- 이렇게 돼 나도.	막 술집에 누구 인? 여자 언? 안껸? 말안핸? -이- 이렇게 돼 나도.
이렇게 된다니까 나도 내가 내 성격이 이렇게 됐어. 그래서 나도 #이 아	이렇게 된다니까 나도 내가 내 성격이 이렇게 됀. 그래서 나도이  아
그 사람한테는 똑같을 지 모르지. 그 사람이 어떻냐에 따라 내가 오빠를 만나면서 너무 #이	그 사람한테는 똑같을 지 모르지. 그 사람이 어떻냐에 따라 내가 오빠를 만나면서 너무 이
그거에 스트레스를 너무 많이 받아서 나도 #이 또라이	그거에 스트레스를 너무 많이 받아서 나도 이 또라이
나도 진짜 너무 또라이됐어. 오빠가 막 이제 나간다면 누구 어디 막 어디 갈 거야?	나도 진짜 너무 또라이됀. 오빠가 막 이제 나간다면 누구 어디 막 어디 갈 거?
어 그니까 오빠 따라서 그렇게 #이 닮아가네 서로 막 연애하면은	어 그니까 오빠 따라서 경 이 닮아가네 서로 막 연애하면은
나 원래 안 그러는데 그래서 오빠한테 막 말했어. 오빠 나 오빠 땜에 진짜 성격 너무 변했어. 그러니까 오빠가	나 원래 안 그러는데 그래서 오빠한테 막 말핸. 오빠 나 오빠 땜에 진짜 성격 너무 변핸. 그러니까 오빠가
그래서 #이 진짜 #이 진짜 너무 스트레스 받아.	그래서 이 진짜 이 진짜 너무 스트레스 받아.
걍 아무 데나 가도 그래 새벽에 들어와라 막  같은 남자 있잖아 새벽에 들어와 막 어 새벽에 들어와 막 난 내가 내일 나갈게.	걍 아무 데나 가도 그래 새벽에 들어와라 막  같은 남자 인네 새벽에 들어와 막 어 새벽에 들어와 막 난 내가 내일 나갈게.
은 #이 이랑 사귀면 너무 이랑 너무 많이 싸울 거 같아	은 이 이랑 사귀면 너무 이랑 너무 많이 싸울 거 닮아.
한 두 달에 한 번 #이	한 두 달에 한 번 이
 너 싸우다가 얼굴 보고 웃을 거 같은데.	 너 싸우다가 얼굴 보고 웃을 거 닮은디.
아니 그   너무 편해.  여자 아니?  여잔 줄 알았어.	아니 그   너무 편해.  여자 아니?  여잔 줄 알안.
걔랑도 맨날 싸운대잖아.	가이랑도 맨날 싸운대잖아.
걔 고집 진짜 개쎄. 걔 내 말 절대 안 들어. 옛날에는 막  이거 해줘 이러면 이렇게 해줬잖아 이제는 #이	가이 고집 진짜 개쎄. 가이 내 말 절대 안 들어. 옛날에는 막  이거 해줘 이러면 이렇게 해줬네 이제는 이
그럼 내가 돌았어? 이렇게 하면	그럼 내가 돌안? 이렇게 하면
내가 막 중문에 가자고 했어. 중문에 맛있는 데 있다고 그러니까	내가 막 중문에 가자고 핸. 중문에 맛있는 데 있다고 그러니까
존나 이거 먹을라고 중문까지 왔어? 이	존나 이거 먹을라고 중문까지 완? 이
이러는 거야 그냥 빡치	영하는 거라 그냥 빡치
그래서 죽을래 이렇게 한 담에 너 걍 설거지 하고 와 막 이렇게 했어 그러니까 뭐래 이렇게 하면서	그래서 죽을래 이렇게 한 담에 너 걍 설거지 하고 와 막 이렇게 핸 그러니까 뭐랜 이렇게 하면서
걔도 막 안 지는 거야.	가이도 막 안 지는 거.
 좀 성깔 있게 생겼잖아.	 좀 성깔 있게 생겼네.
여자 친구랑 왜 헤어졌대? 그건 알아?	여자 친구랑 왜 헤어졌댄? 그건 알아?
몰라 걔가 걔 말 안 해줘 헤어지는 것도 내가 너 왜 헤어	몰라 걔가 가이 말 안 해줘 헤어지는 것도 내가 너 왜 헤어
장거리 아니였어?	장거리 아니연?
그리고 이게 오래 갈 것 같지도 않아. 걍 #이 첫 인상부터	그리고 이게 오래 갈 것 같지도 않아. 걍 이 첫 인상부터
그런데 그 제주도 와가지고 얼굴보고 사귄 거야?	그런데 그 제주도 와가지고 얼굴보고 사귄 거?
 여자 친구가 부산 사람인데 그 동생이랑 다닌 거야. 그 	 여자 친구가 부산 사람인데 그 동생이랑 다닌 거. 그 
난 둘이  내가 말했잖아 네 이몬 줄 알았다고.	난 둘이  내가 말했네 네 이몬 줄 알았다고.
걍 비호감이였어. 얼굴이.	걍 비호감이연. 얼굴이.
다음날 문자 왔다고 들었는데 헤어지자고	다음날 문자 왔다고 들어신디 헤어지자고
애가 너무 착하고 #이	애가 너무 착하고 이
진짜 #이	진짜 이
어 스무 살 때 이 좀 나랑 문자 개많이 했었어.	어 스무 살 때 이 좀 나랑 문자 개많이 햇언.
한테는 #이 뭐가 #이 그냥 #이 마음이 안갔어.	한테는 이 뭐가 이 그냥 이 마음이 안간.
걍 그 때 난 좀 스타일이 있잖아	걍 그 때 난 좀 스타일이 인네
 어떤 스타일부터가 내 스타일이 아니었고 #이	 어떤 스타일부터가 내 스타일이 아니었고 이
은 그 너가 보내준 그 캐릭터 같아	은 그 너가 보내준 그 캐릭터 닮아
그래서 그 때 이랑 카톡 계속 하다가 그런데 막 걔랑 썸 타니까 이제 또 바로 끊고	그래서 그 때 이랑 카톡 계속 하다가 그런데 막 가이랑 썸 타니까 이제 또 바로 끊고
그런데 그로부터 계속 계속 했었어. 이랑 어색하게.	그런데 그로부터 계속 계속 했언. 이랑 어색하게.
뭐해? 막 그러면서	뭐하맨? 막 그러면서
도 #이 막 금사빠라. 여자 좋아해.	도 이 막 금사빠라. 여자 좋아해.
그리고 우진이 오빠랑 다니면서 #이 여자를 너무 좋아해.	그리고 우진이 오빠랑 다니면서 이 여자를 너무 좋아하맨.
녹음했어.	녹음핸.
말하다가 잠들었어.	말하다가 잠들언.
나 자긴 헀어	나 자긴 핸
그럼 뺼거야.	그럼 침대뺄클.
이거 마약 침대네 마약 침대야 이게.	이거 마약 침댄게 마약 침대야 이게.
 난 벗을 것도 없어.	 난 벗을 것도 어서.
야 너 화장 한거야?	야 너 화장 한거?
알겠어	알겐
아 난 존나 눈에 물 들어 오는 느낌이였어.	아 난 존나 눈에 물 들어 오는 느낌이연.
아유 말하는 것도 생각보다 힘들다 #이	아유 말하는 것도 생각보다 힘들다 이
저 뭐하는 거야 이거	저 뭐하는 거 이거
나 여기 물 뿌려 왜	나 여기 물 뿌리맨 무사
너 눈은 언제할 거야?	너 눈은 언제할 거?
그렇게 오래 있다가 하는 거야?	그렇게 오래 있다가 하는 거?
 잔다 얘	 자맨 야이
어 핸드폰 여깄어.	어 핸드폰 여긴.
내가 #이 원래 집순이 아니잖아.	내가 이 원래 집순이 아니네.
아무 일이 없어도 그런데 이 집 이사 하고 #이 진짜 집순이됐어.	아무 일이 없어도 그런데 이 집 이사 하고 이 진짜 집순이됀.
집에 있어도 외롭지 않아.	집에 있어도 외롭지 않네.
봐봐 괜찮아	봐봐 괜츈.
야 렌즈 끼니까 훨씬 낫다 #이	야 렌즈 끼니까 훨씬 낫다 이
진짜 졸렸어. 졸렸어. 졸렸어.	진짜 졸련. 졸련. 졸련.
야 전기장판 뽑아야 되겠다	야 전기장판 뽑아야 되켜
다 쓴 거야?	다 쓴 거?
우리 지금 소망지교에서 애들이 나오면 대학교 나오면 여기 들어와서 여기서	우리 지금 소망지교에서 애들이 나오면 대학교 나오면 이디 들어와기넹 여기서
그러게 말이	게메 말이
이젠 본인도 상냥하게 하고 하겠지	이젠 지도 상냥하게 하*고 하겠지
저 아이 얼굴이 상냥해야 돼야 말이죠	쟤 얼굴이 상냥해야 돼야 말이죠
또 달라지겠지 자기도 이제 마음가짐이	또 틀려지겠지 자기도 이제 마음가짐이
장사가 잘 되고 그러면 표정은 바뀌게 됩니다	장사가 잘 되고 그르믄 표정은 바뀌게 됩니다
춥지요 이렇게 하면서 들어오자는 이렇게 말을 건네고 해야지 말이 이어지는 거지	춥지요 이케 하면서 들어오자는 이렇게 말을 건네고 해야지 말이 이어지는 거지
돌아도 안 보고 와서 옆에 이 보이는 데 있지도 않아요	돌아도 안 보고 와서 옆에 이 보이는 데 있지도 아네요
구멍에 가 숨어 있어 그 절대 사위 그렇게 하면 안 돼 내가 그 아이 한번 흉내 보까	고망에 가 숨어 있어 그 절대 사우 그렇게 하면 안 돼 내가 걔 한번 흉내 보까
그럼 이렇게 들어오면 눈을 마주치잖아 내가 지금  야 그 아이가 아니니 들어오잖아	그럼 이렇게 들어오면 눈을 마주치잖아 내가 지금  야 걔가 아니니 들어오잖아
그렇게 하면 아무 소리 안 하고 이런다니까	경 하*믄 아무 소리 안 하고 이런다니까
너무한거 아니야?	너무한거 아니?
그게 그 아이 마음이 아니라	그게 걔 마음이 아니라
예의 아니냐 빈말이라도 말이에요.	예의 아니냐 빈말이라도 마씨.
 그 집에 갔으면은 자주 가지는 않지만 어머 어쩐 일이야 해야 되는데 이런다니까 고개 돌린다니까	 그 집이 갔으면은 자주 가지는 않지만 어머 어쩐 일이야 해야 되는데 이런다니까 고개 돌린다니까
그런데 안내 보고 할때는 오는 성도들한테는 막 잘하더라?	그런데 안내 보고 할때는 오는 성도들한테는 막 잘하대?
그렇게 하니까는	겅 하니까는
아주머니 나 왔어요 뭐 뭐 주세요 이렇게 하니	아즈망 나 왔수게예 뭐 뭐 줍서 영 해노난
아이고 또 왔어요 하면 이렇게 이렇게	아이고 또 왔수과 하면 영 이추룩
해야지.	되야주.
그러게.	게주.
그 장사라는게 그게	그 장사라는게 그게예
말대로 되는 거기 때문에 그렇게 그렇기 때문에 이 말에 엄청난 파워가 있는 거 말이에요. 그렇게 하니 그런 거가 사업의	말대로 되는 거기 때문에 그렇게 그렇기 때문에 이 말에 엄청난 파워가 있는 거 마씨. 경 해노난 그런 거가 사업의
아니 그렇게 인생을 그렇게 오래오래 사는 사람이 이제는 그렇게	아니 그렇게 인생을 그렇게 오래오래 사는 사람이 이제는 경
하면 안 돼	하면 안 되여
그렇게 하니까 우리가 사는 게	겅 해노난 우리가 사는 게
그렇게 하니까 그게 우리가 좋게 인생을 잘 살아가는 것은 자식들이 복을 받게 돼있는 거였구나	겅 해노난 그게 우리가 좋게 인생을 잘 살아가는 것은 자식들이 복을 받게 돼있는 거였구나
아 그 아주머니 참 고운 아주머니 갔구나 아이 그렇게 하니까 참	아 그 아즈망 참 아까운 아즈망 갔구나 아이 경 해난 참
보고싶다 이렇게 돼야 되느냐 이게	보고싶다 영 돼야 되느냐 이게
그러게 말이에요.	게메 마씨.
그래야 될 건데 말이에요.	그래야 될 건데 마씨.
우리가 인생을 그렇게 끝을 마쳐야지 아이고 그 아줌마 아이고 그 아줌마 잘 갔네 이렇게 하면 안 돼.	우리가 인생을 그렇게 끝을 마쳐야지 아이고 그 아즈망 아이고 그 아즈망 잘 갔져 영 해면 안 되여.
아이고 맞아 막 속상하겠다.	아이고 맞아 막 속상하켜.
아이고 그 아줌마 보기 싫은데 잘 갔네 이렇게 하면 안 된다고 이제 우리는 항상 인생을	아이고 그 아즈망 보기 싫은데 잘 갔져 영 해면 안 된다고 이제 우리는 항상 인생을
정말 하나님 앞에 가서 내가 이렇게 잘 살고 왔습니다 하고 고백할 수 있어야 됩니다. 그렇게 하니까	정말 하나님 앞에 가서 내가 이렇게 잘 살고 왔습니다 하고 고백할 수 있어야 되마씨. 경 해난
앙큼앙큼 이렇게 할 필요도 없어요.	앙큼앙큼 영 할 필요도 없쪄.
그러니까 이제 내 나이 되니까 아무것도 뭐가 없어. 그래서	경해난 이제 내 나이 되니까 아무것도 뭐가 없어. 경핸
부지런히 벌어서 잘 해놓았다가 노후에는 평안히 누리면서	부지런히 벌어기넹 잘 해놨당 노후에는 평안히 누리면서
이렇게 신앙생활을 잘하면서 주님 나라 갈 것 준비하는 거야. 그래서 그것이 우리의 행복이고 축복이야.	이렇게 신앙생활을 잘하면서 주님 나라 갈 것 준비하는 거야. 겅행 그것이 우리의 행복이고 축복이야.
열심히 막 진짜 땅에 엉덩이 안 붙이고 열심히 막	열심히 막 진짜 땅에 궁뎅이 안 붙이고 열심히 막
돌아 다니면서 영혼 살릴려고 그렇게 막 했는데	돌아 다니멍 영혼 살릴려고 그추룩 막 했는디
아 내가 좀 더 넓은 사랑으로 더 넓은 마음으로 시간을 갖고 기다려주고 막 이렇게 하지 못했던 거	아 내가 좀 더 넓은 사랑으로 더 넓은 마음으로 시간을 갖고 기다려주고 막 영 하지 못했던 거
우리가 이제는 내가 내일 #제와도 여한이 없다는 마음으로 정리를 해보면서 살아야 돼. 이젠 앞으로	우리가 이제는 내가 내일 제와도 여한이 없다는 마음으로 정리를 해보면서 살아야 돼. 이젠 앞으로
우리는 사모님처럼 그렇게 마음을 그렇게 저기하지는 못합니다.	우리는 사모님처럼 그렇게 마음을 그렇게 저기하지는 못해마씨.
우리는 주의 또 가는 길과 우리의 길과 또 틀리잖아.	우리는 주의 또 가는 길하*고도 우리의 길하*고 또 틀리잖아.
다른 사람들은 돈이 일 순위가 돼서 돈 따라가면서 하나님을 한 번씩 발 디뎌 놓고 사는 사람이고 그거와 다른 거 그게 분리가 다른 거고	다른 사람들은 돈이 일 순위가 돼서 돈 따라가면서 하나님을 한 번씩 발 디뎌 놩이네 사는 사람이고 그거와 다른 거 그게 분리가 다른 거고
그냥 난 항상 내가 말해. 내가 잘 할 수 있는 그 재능대로 일하면 돼요. 왜냐 찬양을 잘하면 찬양으로	그냥 난 항상 내가 말해. 내가 잘 할 수 있는 그 재능대로 일하면 되마씨. 왜냐 찬양을 잘하면 찬양으로
우리도 곧 뒤따라 가는디 사모님이나 나나 뭐 거기서 거기이지 그게 무슨	우리도 곧 뒤따라 가는디 사모님이나 나나 뭐 거기서 거기지마씨게 그게 무슨
 청년처럼 살아 삽시다.	 청년처럼 살아 살게마씨.
그런데 어저께 새벽에 여기  모였습니까?	그런데 어저께 새벽에 여기  모여마씨?
시래기로다가 해장국을 끓입시다.	시래기로다가 해장국을 끓이게마씨.
말린거 말고 삶아놓은 거 그러면 저거  돈 몇 십만원 들겠어 내가 그랬어.	말린거 말고 삶아놓은 거 게믄 저거  돈 몇 십만원 들켜 내가 그랬어.
아이고 옥상에다가 내가 작년에 막 많이 해서 해서 그거 다 널어 놨다가 막	아이고 옥상에다가 내가 작년에 막 많이 핸 행이네 그거 다 널어 놨당 막
그래서 요즘 저 보다도 지났는데도	경해노난 요즘 저 보다도 지났는데도
국 끓였습니다. 그때 그래서	국 끓여마씨. 그때 경해난
할머니들 된장국이 맛이 된장이 맛있다고 하면서 그래서 된장도 맛있어야 되지만	할머니들 된장국이 맛이 된장이 맛있댄 하*멍 겅핸 된장도 맛있어야 되지만
#제례도 맛있어야 되죠 그러니까 그거	제례도 맛있어야 되죠 경해노난 그거
삶아서 한 줄 통 #절으니까 야 이거 다 끝이야 마지막이야 그러니까 이것 갖고 해봐	삶앙이네 한 줄 통 절으난 야 이거 다 멕이여 마지막이여 경해난 이것 갖고 해봐
저기 오일장 가서 사보려고 했다가 비싸니까	저기 오일장 강 사보젠 해난 비싸니까
저기요 지금 뜯어다가 말려서 계속 말리면서	양 지금 뜯어다가 말령이네 계속 말려가멍
써야죠 이거 비싸서 못 쓰겠다.	써야죠 이거 비싸서 못 쓰겄다.
그러니까 얘네가 지금 파란 는 파란 배추 하잖아	경해나난 얘네가 지금 파란 는 파란 배추 하잖아
북어 조림할 때 깔아도 맛있고 그렇게 맛있어.	북어 조림할 때 깔아도 맛있고 경 맛있어.
그래도 어떡해 장사하는 게 일 순위지 지금 뭐	경해도 어떵해 장사하는 게 일 순위지 지금 무시거
무청하고 늙은 호박 켜켜이 넣고 김치 담아서 들기름 넣고 지져 먹어도 끝내주게 맛있어 몸에 최고 이야	무우청하*고 늙은 호박 켜켜이 넣고 김치 담아서 들기름 넣고 지져 먹어도 끝내주게 맛있어 몸에 최고 이야
이번에 해봐서	이번에 해봥이네
맛 좋으면은 얼렁얼렁 뜯어다가 옥상에 갖다 던져놓으면 나가 이렇게 이렇게 말려갖고 뒤적뒤적 해서	맛 좋으면은 얼렁얼렁 뜯어다가 옥상에 갖다 던져놓으면 나가 영 영 말려갖고 뒤적뒤적 행이네
물기 수분을 싹 밀렸다가 다시 또	물기 수분을 싹 말려땅 다시 또
삶아서	삶앙이네
그렇게 해야 돼 그렇게 그래서	그축 해야 돼 그축 겅해연
나도 다른 건 아는데 무청은 다른 곳에서 주워다가	나도 다른 건 아는데 무우청은 다른 곳에서 주서다가
무청은 막 밭에 막 버려진 건 많은데	무우청은 막 밭에 막 버려진 건 많은데
그래서 그 성산리에 그 시골에 공장이 무 말리는 공장을 합니다. 그러니까 그 이파리를 다 버리고	겅해난 그 성산리에 그 시골에 공장이 무 말리는 공장을 해마씨. 경해노난 그 이파리를 다 버리고
무만 가져가겠다고. 그러니까 이 무는 다 갖다버리는거죠. 그러니까 트럭으로 하나 더 가져올 수 있	무만 가져가켄. 경해노난 이 무우는 다 갖다버리는거죠. 경해노난 트럭으로 하나 더 가져올 수 있
저번에 작년엔가 갖다 주니까 일부러 거기까지 가지 못해서 그래서 내가	저번에 작년엔가 갖다 주난 일부러 거기까지 가지 못행이네 겅해난 내가
차비 삼 만원 줘서 가서 가져간 다섯 포대기	차비 삼 만원 줭이네 가서 가져간 다섯 푸대기
쌀 포대기를 다섯개 가져왔더라고	쌀 푸대기를 다섯개 가져왔더라고
시래기 좀 갖다 주면	시래기 좀 갖다 주믄
내 기름값 줄게 그래서 그러면 저	내 기름값 줄게 경해난 경해나믄 저
차대기로 한 차대기 비니루 같은 거 차에다 실어놨다가 가져가서	차대기로 한 차대기 비니루 같은 거 차에다 실어놔땅 가져강
쌀 차대기 같은 거 얼마 안 들어가더라.	쌀 차대기 같은 거 얼마 안 들어가더라게.
그래서 쌀 차대기에다가 담아왔더라고. 그냥 비니루 갖다 줘야 막 많이 담을 수 있어.	게난 쌀 차대기에다가 담아왔더라게. 그냥 비니루 갖당 줘야 막 많이 담아져.
이만한 비닐?	이만한 비닐이?
그런거에다 주면 그거 가지고 일년 내내 먹어도.	그런거에다 주면 그거 가지고 일년 내내 먹어도게.
왜냐하면 전에는 별로 건강 프로에 관심이 없었는데 이제 집에 있어서 시간이 있으니까 건강 프로를 보게 되니까는	왜냐하면 전에는 별로 건강 프로에 관심이 없었는데 이제 집에 있엉 시간이 있으니까 건강 프로를 보게 되니까는
그래서 옛날에는 배추도 저렇게 #꾸늉이 다	경해난 옛날에는 배추도 저렇게 꾸늉이 다
깐 거 껍데기 그게 맛있는 거고 그거가 삶아서 국을 끓이면 그게 맛있죠	깐 거 껍데기 그게 맛있는 거고 그거가 삶앙이네 국을 끓이면 그게 맛있죠
최고의 보약이래. 영양가 무우청.	최고의 보약이옌. 영양가 무우청.
그러니까 저번날 가 코다리 찜	경해놔난 저번날 가 코다리 찜
하는데 가서	하는데 강
밥을 먹으려고 갔는데 시래기 넣고 했더라.	밥을 먹젠 갔는데 시래기 넣고 했드라.
그러니까 그 시래기 한	경해노난 그 시래기 한
한 보자기 든 것이 오 천원이래	한 보새기 든 것이 오 천원이래
그래서 두 개 이 인분 넣어주라고 하니까	경해난 두 개 이 인분 넣어주랜 하*난
그러니까 그 코다리찜이 사만 오천원	경해노난 그 코다리찜이 사만 오천원
그렇지만	경핸디
노형에 말입니다. 	노형에 마씨. 
시래기 놓고 그렇게 했는데 맛 좋다고 하면서	시래기 놓고 겅 했는디 맛 좋댄 하*멍
그렇게 하니까 내가 이거를 집에서 우거지 삶아놨다가 해서 코다리 하나	그추룩 해난 내가 이거를 집에서 우거지 삶아놨당 행 코다리 하나
네 개에 오 천원만 아니 #마씨 그거 그렇게 갖다 놓고 졸이면은 예	네 개에 오 천원만 아니 마씨 그거 겅 갖다 놓고 졸이면은 양
무슨 사만 얼마씩 줘 가면서 이거  먹는 거	무시거 사만 얼마씩 줘 가멍 이거  먹는 거
그 사람들도 남아야 장사 인건비 주고 그럴거 아닙니까 무슨	그 사람들도 남아야 장사 인건비 주고 그럴거 아니우꽈게 무슨
그리고 집에서 하는 거하고 틀립니다	그리고 집이서 하는 거하고 틀립니다
그래서 난 그거보다 더 맛 좋게 할 거다	경행 난 그거보다 더 맛 좋게 할 거다
고등어 조림 잘해 나	고등어 조림 잘하매 나
그러게.	게메.
나는 가 그 말 한 거 아까도 말했지만	나는 가 그 말 한* 거 아까도 말했지만
내가 해도 순두부는 그것보다 맛있게 할거야. 나는 순두부는 자신이 있어. 그러는 거야. 내가 그래서 속으로	내가 해도 순두부는 그것보다 맛있게 할켜. 나는 순두부는 자신이 있어. 그러는 거라. 내가 그래서 속으로
내가 속으로 웃었어.	내가 속으로 웃었주게.
그래서 나는	게 나는
우리 식구들이 입이 좀 까다로워요. 그러니까 이 음식들이	우리 식구들이 입이 좀 까다로워요. 경해니까 이 음식들이
정성 드리는 것도 뭐 하는 것도 하기 싫고 싫어 이 김치도 억지로 지금 그냥 지금	정성 드리는 것도 뭐 하는 것도 하기 싫고 실퍼 이 김치도 억지로 지금 그냥 지금
게장 무침 먹고 싶단 말이에요. 꽃게.	게장 무침 먹고 싶단 마씨. 꽃게.
돈 벌어서 돈 벌어 한 번 사와야겠네.	돈 벌엉 돈 벌어 한 번 사와야겠네.
부드러우니까요?	부드러우니까예?
그래서 이제 자꾸 식성도 바뀌고 음식도 하기싫고 맛도 없고	경해난 이제 자꾸 식성도 바뀌고 음식도 하기싫고 맛도 없고
이제 그래서 저번날	이제 겅해난 저번날
그래서	경해영
그러니까 나이 들어보니까 이제는	경해난 나이 들어보니까 이제는
음식도 그래서 맛이 없는 거야. 하기 싫은 거 하니까. 그래서 이게	음식도 그래서 맛이 없는 거야. 하기 싫은 거 하니까. 겅해난 이게
그러게 말이에요.	게메 마씨.
그러면 너 뭐 먹고 싶은 거 있으면 말해요	게면 너 뭐 먹고 싶은 거 있으면 말해요
엄마가 있을 동안이라도 먹고 싶은 거 해줄게.	엄마가 있을 동안이라도 먹고 싶은 거 해줄크매.
그래도 아니 이제 잘 먹고 두 번씩 세 번씩 먹고 막 그래.	경해도 아니 이제 잘 먹고 두 번씩 세 번씩 먹고 막 경해.
오 그러면 사모님이 음식 와서 하게 해줬어요?	오 게믄 사모님이 음식 와서 하게 해줬어요?
그러니까 그거 고아 먹였지.	경해노난 그거 고아 멕였지.
아이고 좋겠다.	아이고 조켜.
혼자서 치킨을 못 시켜 먹으니까 한번씩 먹고 싶어도 못 먹어 그래서 언제 한번 얘가	혼자서 치킨을 못 시켜 먹으니까 한번씩 먹고 싶어도 못 먹어 겅해노난 언제 한번 얘가
목사님은 다리 하나 딱 먹으면 안 잡수시니까 그래서	목사님은 다리 하나 딱 먹으면 안 잡수시니까 경
네 집 가보니까 애들이 시켰다는디.	네 집 가네 애들이 시켰다는디.
